,Retorno,Risco,Sharpe,PETZ3.SA Peso,VIVA3.SA Peso,VIIA3.SA Peso,AZUL4.SA Peso
127,-0.33073394610155893,0.5545465850139174,-0.5964042607768625,0.255,0.217,0.266,0.262
128,-0.23225033611894777,0.5982508504939552,-0.38821563885314436,0.109,0.212,0.215,0.463
129,-0.2953702400475423,0.547823450543526,-0.5391704932574338,0.226,0.275,0.157,0.343
130,-0.38309360167423856,0.5729419980640025,-0.6686429044628069,0.33,0.167,0.112,0.391
131,-0.14356693946124344,0.5628049708752993,-0.25509181135689285,0.049,0.426,0.053,0.472
132,-0.35982210315235613,0.5181502116316062,-0.6944358895836599,0.338,0.354,0.279,0.029
133,-0.2692974896133868,0.5639753853004094,-0.4774986579776735,0.165,0.237,0.309,0.29
134,-0.20354172282923366,0.6721964413591228,-0.30280095267640805,0.015,0.076,0.368,0.541
135,-0.2928541128903092,0.608145697491598,-0.4815525524528688,0.158,0.138,0.503,0.202
136,-0.44434601224934883,0.5212728946158696,-0.852424932964894,0.463,0.289,0.04,0.208
137,-0.3914979147553663,0.5612477649632992,-0.6975491738144685,0.342,0.174,0.155,0.328
138,-0.39752890131835333,0.5581098849884086,-0.7122771196331876,0.348,0.215,0.363,0.075
139,-0.29491840797234375,0.5867957589027833,-0.5025912397932037,0.177,0.168,0.401,0.255
140,-0.36998367714171865,0.5789368338101469,-0.6390743437531026,0.288,0.131,0.28,0.301
141,-0.2354468800033416,0.5691658740507339,-0.41367005777713667,0.12,0.252,0.29,0.338
142,-0.259389831383103,0.5467116695404237,-0.47445453579059516,0.175,0.295,0.199,0.331
143,-0.44207633646450606,0.5398542545044429,-0.818880897530961,0.431,0.213,0.131,0.225
144,-0.394768609423119,0.5615165709650181,-0.7030399988813735,0.338,0.165,0.237,0.261
145,-0.4023974728152189,0.5012137939332574,-0.8028459665034737,0.425,0.373,0.031,0.171
146,-0.21466854210481826,0.6982838879689199,-0.30742302064167487,0.003,0.078,0.793,0.125
147,-0.3136404625258042,0.4690062726063858,-0.6687340465252741,0.335,0.532,0.071,0.062
148,-0.3515681527634886,0.5337829928461759,-0.6586349836455028,0.327,0.3,0.036,0.336
149,-0.2855148742698055,0.5031710906983686,-0.5674309982187759,0.25,0.397,0.12,0.232
150,-0.571354371509845,0.5726682512464418,-0.9977056878328123,0.589,0.088,0.134,0.189
151,-0.4706591789926637,0.608863983272358,-0.7730120222633167,0.418,0.023,0.142,0.416
152,-0.36354178869083326,0.5640293031498864,-0.6445441516257975,0.297,0.179,0.209,0.316
153,-0.4494758656639453,0.6048229708042909,-0.7431527692578116,0.373,0.041,0.401,0.185
154,-0.11029975155428011,0.5069147695682003,-0.21759032913607065,0.009,0.519,0.298,0.174
155,-0.41215727516960476,0.5574649937787883,-0.7393419851815051,0.364,0.176,0.286,0.175
156,-0.30440413165907265,0.5343373131444732,-0.5696853357810863,0.242,0.291,0.194,0.273
157,-0.2855818060801635,0.5739191581180575,-0.497599360538193,0.176,0.2,0.352,0.272
158,-0.3486584818537562,0.6384867343018132,-0.5460700483229539,0.214,0.063,0.591,0.133
159,-0.28341940331296966,0.5633884344819551,-0.5030621609646255,0.181,0.238,0.393,0.188
160,-0.26249517771780323,0.5512859696181639,-0.47615065897580294,0.165,0.272,0.313,0.25
161,-0.17163690813025292,0.634792559230864,-0.27038267168445385,0.006,0.19,0.286,0.518
162,-0.5142034182731152,0.5862904238313572,-0.8770455688374379,0.485,0.069,0.315,0.13
163,-0.39645002691946396,0.5740290596370498,-0.6906445244603706,0.354,0.17,0.069,0.407
164,-0.45686426974595346,0.5766044780725975,-0.7923356254066967,0.417,0.099,0.173,0.311
165,-0.2377919535092546,0.5425293833273185,-0.4383024418896591,0.155,0.33,0.166,0.349
166,-0.26788560973189174,0.6199966012148075,-0.43207593268576416,0.144,0.146,0.202,0.508
167,-0.34521968490718746,0.5481329837993799,-0.6298100919129144,0.314,0.284,0.014,0.388
168,-0.41480690707441475,0.5880193397389971,-0.7054307214768382,0.38,0.15,0.013,0.456
169,-0.3301814221910252,0.52131990843918,-0.6333566335104694,0.285,0.315,0.235,0.165
170,-0.34283193080733115,0.5624880997848049,-0.6094918824744752,0.269,0.194,0.226,0.312
171,-0.25385981209925595,0.567560247614826,-0.44728258042402147,0.141,0.269,0.458,0.132
172,-0.1886460798518767,0.4935944666058821,-0.3821884008325077,0.127,0.491,0.177,0.206
173,-0.38554212948929584,0.5682262376526415,-0.6785011038595845,0.317,0.15,0.28,0.253
174,-0.14186109811406872,0.5523550250071325,-0.25682956014066655,0.009,0.371,0.359,0.261
175,-0.3467718364276597,0.6112741081543852,-0.5672935133383369,0.239,0.079,0.263,0.419
176,-0.238444660932268,0.5173401937598487,-0.46090495926739244,0.164,0.381,0.265,0.19
177,-0.33878358995718255,0.48526830684441763,-0.6981366497231403,0.345,0.44,0.089,0.125
178,-0.2899928562370673,0.5188943754670104,-0.5588668329196489,0.234,0.366,0.312,0.088
